                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4342,                 0.2183,                0.89804,                 1.7756,             0.00023782,             0.00023782,             0.00023782
                      2,                 1.2427,                0.18693,                 0.8366,                 1.7826,             0.00045227,             0.00045227,             0.00045227
                      3,                 1.1735,                0.20392,                0.78954,                 1.7884,             0.00064315,             0.00064315,             0.00064315
                      4,                 1.1278,                0.23791,                 0.7817,                 1.7682,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.0875,                0.24837,                0.77908,                 1.7633,             0.00060797,             0.00060797,             0.00060797
                      6,                 1.0449,                0.23007,                0.78039,                 1.7762,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.0168,                0.24967,                0.78693,                 1.7607,             0.00053728,             0.00053728,             0.00053728
                      8,                0.99763,                0.23922,                 0.7817,                   1.77,             0.00050194,             0.00050194,             0.00050194
                      9,                0.96928,                0.25882,                0.78693,                 1.7551,              0.0004666,              0.0004666,              0.0004666
                     10,                0.94392,                0.25752,                0.78824,                 1.7546,             0.00043126,             0.00043126,             0.00043126
                     11,                0.92563,                0.22614,                0.78824,                 1.7708,             0.00039591,             0.00039591,             0.00039591
                     12,                0.90665,                0.22353,                0.79216,                 1.7718,             0.00036057,             0.00036057,             0.00036057
                     13,                 0.9029,                0.24706,                0.78954,                 1.7645,             0.00032523,             0.00032523,             0.00032523
                     14,                0.88898,                0.24837,                0.78824,                 1.7645,             0.00028988,             0.00028988,             0.00028988
                     15,                0.87954,                0.24967,                0.78693,                 1.7607,             0.00025454,             0.00025454,             0.00025454
                     16,                0.85423,                 0.2549,                0.79739,                 1.7597,              0.0002192,              0.0002192,              0.0002192
                     17,                0.84513,                0.25359,                0.79346,                 1.7614,             0.00018385,             0.00018385,             0.00018385
                     18,                0.84057,                0.26797,                0.79216,                 1.7504,             0.00014851,             0.00014851,             0.00014851
                     19,                 0.8342,                0.26405,                0.79477,                 1.7539,             0.00011317,             0.00011317,             0.00011317
                     20,                0.82544,                0.26144,                0.79085,                 1.7569,             7.7826e-05,             7.7826e-05,             7.7826e-05
